created_at,src,camp
"2025-12-18 11:20:34",tell,none
"2025-12-18 11:32:14",whatsapp,none
"2025-12-18 12:22:14",instagram,none
"2025-12-18 12:35:12",whatsapp,none
"2025-12-18 12:47:57",tell,none
"2025-12-18 12:48:07",direct,none
"2025-12-18 13:14:16",site,none
"2025-12-18 14:30:15",site,none
"2025-12-18 14:30:18",site,none
"2025-12-18 17:33:32",direct,none
"2025-12-18 17:33:34",direct,none
"2025-12-18 18:01:30",site,none
"2025-12-20 05:18:00",site,none
"2025-12-20 07:43:32",telegram,none
"2025-12-20 07:46:53",whatsapp,none
"2025-12-20 07:47:13",whatsapp,none
"2025-12-20 07:47:29",whatsapp,none
"2025-12-20 07:49:36",whatsapp,none
"2025-12-20 07:50:31",whatsapp,none
"2025-12-20 07:58:10",site,none
"2025-12-20 08:01:34",whatsapp,none
"2025-12-20 08:03:44",direct,none
"2025-12-20 08:04:34",whatsapp,none
"2025-12-20 08:06:45",whatsapp,none
"2025-12-20 08:16:56",whatsapp,none
"2025-12-20 08:19:35",telegram,none
"2025-12-20 08:28:17",whatsapp,none
"2025-12-20 08:30:19",telegram,none
"2025-12-20 08:32:08",telegram,none
"2025-12-20 08:41:41",whatsapp,none
"2025-12-20 08:45:10",telegram,none
"2025-12-20 08:48:32",telegram,none
"2025-12-20 08:49:10",whatsapp,none
"2025-12-20 08:50:16",whatsapp,none
"2025-12-20 08:50:25",telegram,none
"2025-12-20 08:52:42",telegram,none
"2025-12-20 08:54:09",whatsapp,none
"2025-12-20 09:20:59",telegram,none
"2025-12-20 09:39:34",whatsapp,none
"2025-12-20 10:12:53",whatsapp,none
"2025-12-20 10:14:48",site,none
"2025-12-20 10:25:36",telegram,none
"2025-12-20 10:26:07",telegram,none
"2025-12-20 10:30:30",whatsapp,none
"2025-12-20 13:37:15",site,none
"2025-12-20 20:51:02",whatsapp,none
"2025-12-20 23:03:13",telegram,none
"2025-12-21 00:57:17",telegram,none
"2025-12-21 04:43:15",telegram,none
"2025-12-21 04:57:23",site,none
"2025-12-21 06:09:17",telegram,none
"2025-12-21 06:12:30",whatsapp,none
"2025-12-21 06:13:27",whatsapp,none
"2025-12-21 06:14:03",whatsapp,none
"2025-12-21 06:15:19",site,none
"2025-12-21 06:16:09",whatsapp,none
"2025-12-21 06:16:13",whatsapp,none
"2025-12-21 06:52:21",whatsapp,none
"2025-12-21 06:53:15",whatsapp,none
"2025-12-21 07:10:02",whatsapp,none
"2025-12-21 07:10:23",whatsapp,none
"2025-12-21 07:10:26",whatsapp,none
"2025-12-21 08:30:17",site,none
"2025-12-21 08:41:33",site,none
"2025-12-21 08:46:11",whatsapp,none
"2025-12-21 08:49:21",whatsapp,none
"2025-12-21 08:49:35",whatsapp,none
"2025-12-21 08:59:08",whatsapp,none
"2025-12-21 09:32:43",site,none
"2025-12-21 09:34:16",telegram,none
"2025-12-21 09:34:41",instagram,none
"2025-12-21 09:35:27",instagram,none
"2025-12-21 09:39:11",instagram,none
"2025-12-21 09:39:18",instagram,none
"2025-12-21 09:39:19",instagram,none
"2025-12-21 09:45:32",instagram,none
"2025-12-21 09:46:23",instagram,none
"2025-12-21 09:46:41",instagram,none
"2025-12-21 09:47:47",instagram,none
"2025-12-21 09:47:57",instagram,none
"2025-12-21 09:49:39",instagram,none
"2025-12-21 09:51:34",instagram,none
"2025-12-21 09:52:56",instagram,none
"2025-12-21 09:55:04",instagram,none
"2025-12-21 09:58:56",instagram,none
"2025-12-21 10:02:53",instagram,none
"2025-12-21 10:04:47",instagram,none
"2025-12-21 10:05:09",instagram,none
"2025-12-21 10:08:05",instagram,none
"2025-12-21 10:09:00",instagram,none
"2025-12-21 10:11:01",instagram,none
"2025-12-21 10:30:56",instagram,none
"2025-12-21 10:50:08",instagram,none
"2025-12-21 11:06:21",site,none
"2025-12-21 11:26:52",whatsapp,none
"2025-12-21 11:32:18",whatsapp,none
"2025-12-21 11:32:35",instagram,none
"2025-12-21 11:39:16",instagram,none
"2025-12-21 11:40:27",instagram,none
"2025-12-21 11:46:27",instagram,none
"2025-12-21 11:49:25",instagram,none
"2025-12-21 11:52:02",instagram,none
"2025-12-21 11:55:08",instagram,none
"2025-12-21 12:00:10",instagram,none
"2025-12-21 12:00:46",instagram,none
"2025-12-21 12:19:12",site,none
"2025-12-21 12:39:46",instagram,none
"2025-12-21 13:14:38",instagram,none
"2025-12-21 13:28:14",instagram,none
"2025-12-21 13:29:07",instagram,none
"2025-12-21 13:39:54",whatsapp,none
"2025-12-21 13:45:56",instagram,none
"2025-12-21 13:48:51",instagram,none
"2025-12-21 13:50:28",instagram,none
"2025-12-21 13:55:23",instagram,none
"2025-12-21 14:15:13",instagram,none
"2025-12-21 14:20:12",whatsapp,none
"2025-12-21 14:20:19",whatsapp,none
"2025-12-21 14:31:11",instagram,none
"2025-12-21 14:31:35",instagram,none
"2025-12-21 14:39:14",instagram,none
"2025-12-21 15:06:50",instagram,none
"2025-12-21 15:50:56",instagram,none
"2025-12-21 15:53:13",instagram,none
"2025-12-21 16:15:06",instagram,none
"2025-12-21 16:30:19",instagram,none
"2025-12-21 16:37:08",instagram,none
"2025-12-21 16:37:35",instagram,none
"2025-12-21 18:20:25",whatsapp,none
"2025-12-21 19:04:59",instagram,none
"2025-12-21 19:52:45",instagram,none
"2025-12-21 21:01:18",instagram,none
"2025-12-21 21:43:44",instagram,none
"2025-12-21 22:04:01",instagram,none
